"jobTitle","companyName","location","duration","stipend","link"
"CA Industrial Trainee Program – Finance, Risk & Compliance","Morgan Stanley","Mumbai","Competitive stipend","3 Months","https://internshala.com/internship/detail/ca-industrial-trainee-program--finance-risk-compliance-internship-in-mumbai-at-morgan-stanley1747234859"
"Accounting & Taxation","DK GUPTA","Delhi","₹ 5,000 - 10,000 /month","3 Months","https://internshala.com/internship/detail/accounting-taxation-internship-in-delhi-at-dk-gupta1750856560"
"Law/Legal","Rizwan Akhtar","Hyderabad","₹ 2,000 - 4,000 /month","6 Months","https://internshala.com/internship/detail/law-legal-internship-in-hyderabad-at-rizwan-akhtar1751347838"
"Company Secretary (CS)","Unilex Business Consultants LLP","Jabalpur","₹ 6,000 - 7,000 /month","3 Months","https://internshala.com/internship/detail/company-secretary-cs-internship-in-jabalpur-at-unilex-business-consultants-llp1751104146"
"Wealth Management","Invesgate Edge","Noida","₹ 6,000 - 12,000 /month","3 Months","https://internshala.com/internship/detail/wealth-management-internship-in-noida-at-invesgate-edge1751198124"
"Legal Research","EstartIndia Private Limited","Delhi","₹ 3,000 - 5,000 /month","3 Months","https://internshala.com/internship/detail/legal-research-internship-in-delhi-at-estartindia-private-limited1751353297"
"Korean News Analysis And Reporting","The Korean Academy","Work from home","₹ 5,000 - 10,000 /month","1 Month","https://internshala.com/internship/detail/work-from-home-part-time-korean-news-analysis-and-reporting-internship-at-the-korean-academy1750690073"
"Finance","FINEETI","Work from home","₹ 5,000 - 25,000 /month","2 Months","https://internshala.com/internship/detail/work-from-home-finance-internship-at-fineeti1751372108"
"Finance","BULLGRAD","Work from home","₹ 6,000 - 30,000 lump sum","3 Months","https://internshala.com/internship/detail/work-from-home-part-time-finance-internship-at-kavya-nair1751604262"
"Accounts","Solar Work Enertec Private Limited","Gurgaon","₹ 8,000 - 10,000 /month","6 Months","https://internshala.com/internship/detail/part-time-accounts-internship-in-gurgaon-at-solar-work-enertec-private-limited1751459459"
